,virus name,species,genus,family,Host plasticity No of species,Host plasticity No of species Impact,Host plasticity No of orders,Host plasticity No of orders Impact,Geography of the host,Geography of the host Impact,Number of primary high risk disease transmission interfaces where the virus has been detected,Number of primary high risk disease transmission interfaces where the virus has been detected Impact,Frequency of interaction between domestic animals and humans in the host ecosystem,Frequency of interaction between domestic animals and humans in the host ecosystem Impact,Intimacy of interaction between domestic animals and humans in the host ecosystem,Intimacy of interaction between domestic animals and humans in the host ecosystem Impact,Frequency of interaction between wild animals and humans in the host ecosystem,Frequency of interaction between wild animals and humans in the host ecosystem Impact,Intimacy of interaction between wild animals and humans in the host ecosystem,Intimacy of interaction between wild animals and humans in the host ecosystem Impact,Genetic relatedness between the host species and humans,Genetic relatedness between the host species and humans Impact,Land use in host ecosystem,Land use in host ecosystem Impact,Livestock density in host ecosystem,Livestock density in host ecosystem Impact,Human population density in host ecosystem,Human population density in host ecosystem Impact,Deforestation in host ecosystem,Deforestation in host ecosystem Impact,Urbanization in host ecosystem,Urbanization in host ecosystem Impact,Agricultural system change in host ecosystem,Agricultural system change in host ecosystem Impact,Genome classification of the virus,Genome classification of the virus Impact,Envelope status of the virus,Envelope status of the virus Impact,Viral genome segmentation,Viral genome segmentation Impact,Virus species infectivity in humans,Virus species infectivity in humans Impact,Virus species infectivity in terrestrial mammals excluding humans,Virus species infectivity in terrestrial mammals excluding humans Impact,Proportion of virus species known to infect humans in the viral family,Proportion of virus species known to infect humans in the viral family Impact,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family Impact,Proportion of viruses within a viral family that are known to infect more than 1 host species,Proportion of viruses within a viral family that are known to infect more than 1 host species Impact,Epidemicity of the virus species,Epidemicity of the virus species Impact,Geography of the virus in animals,Geography of the virus in animals Impact,Pandemic virus,Pandemic virus Impact,Proportion of known human pathogens in the viral family,Proportion of known human pathogens in the viral family Impact,Transmission mode of the virus,Transmission mode of the virus Impact,Animal to human transmission,Animal to human transmission Impact,Human to human transmission,Human to human transmission Impact,Duration of virus species infection in humans,Duration of virus species infection in humans Impact,Risk Score
155,PARAMYXOVIRUS PREDICT PMV-144,Paramyxovirus PREDICT PMV-144,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
156,CORONAVIRUS PREDICT COV-67,Coronavirus PREDICT CoV-67,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
157,CORONAVIRUS PREDICT COV-53,Coronavirus PREDICT CoV-53,Alphacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
158,CORONAVIRUS PREDICT COV-49,Coronavirus PREDICT CoV-49,Gammacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
159,PARAMYXOVIRUS PREDICT PMV-143,Paramyxovirus PREDICT PMV-143,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
160,PARAMYXOVIRUS PREDICT PMV-136,Paramyxovirus PREDICT PMV-136,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
161,CORONAVIRUS PREDICT COV-77,Coronavirus PREDICT CoV-77,Betacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
162,KENYA BAT CORONAVIRUS BTKY33/2006,Kenya bat coronavirus BtKY33/2006,Alphacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
163,PARAMYXOVIRUS PREDICT PMV-150,Paramyxovirus PREDICT PMV-150,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
164,PARAMYXOVIRUS PREDICT PMV-181,Paramyxovirus PREDICT PMV-181,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
165,PARAMYXOVIRUS PREDICT PMV-146,Paramyxovirus PREDICT PMV-146,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
166,VESPERTILIONID BETACORONAVIRUS,Vespertilionid betacoronavirus,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
167,PARAMYXOVIRUS PREDICT PMV-76,Paramyxovirus PREDICT PMV-76,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
168,CORONAVIRUS PREDICT COV-95,Coronavirus PREDICT CoV-95,Alphacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
169,CORONAVIRUS PREDICT COV-47,Coronavirus PREDICT CoV-47,Alphacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
170,CORONAVIRUS PREDICT COV-46,Coronavirus PREDICT CoV-46,Betacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
171,PARAMYXOVIRUS PREDICT PMV-171,Paramyxovirus PREDICT PMV-171,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
172,PARAMYXOVIRUS PREDICT PMV-151,Paramyxovirus PREDICT PMV-151,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
173,PARAMYXOVIRUS PREDICT PMV-2,Paramyxovirus PREDICT PMV-2,Unassigned,Paramyxoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
174,MOROGORO MAMMARENAVIRUS,Morogoro mammarenavirus,Mammarenavirus,Arenaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
175,CORONAVIRUS PREDICT COV-82,Coronavirus PREDICT CoV-82,Alphacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
176,CORONAVIRUS PREDICT COV-117,Coronavirus PREDICT CoV-117,Betacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
177,HIPPOSIDEROS BAT ALPHACORONAVIRUS MJ/67C,Hipposideros bat alphacoronavirus MJ/67C,Alphacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,LOW-MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
178,PARAMYXOVIRUS PREDICT PMV-155,Paramyxovirus PREDICT PMV-155,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
179,PARAMYXOVIRUS PREDICT PMV-168,Paramyxovirus PREDICT PMV-168,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
180,PARAMYXOVIRUS PREDICT PMV-170,Paramyxovirus PREDICT PMV-170,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
181,MAMASTROVIRUS 5,Mamastrovirus 5,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
182,PARAMYXOVIRUS PREDICT PMV-182,Paramyxovirus PREDICT PMV-182,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
183,PARAMYXOVIRUS PREDICT PMV-184,Paramyxovirus PREDICT PMV-184,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,61
184,BAT ASTROVIRUS TM/GUANGXI/LD157/2007,Bat astrovirus Tm/Guangxi/LD157/2007,Mamastrovirus,Astroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
